Fuel Recipe Column # ==>,8,10,12,14,16,18,9,11,13,15,17,19,,
Isotope,MOX-PN fresh,MOX-PNA fresh 1,MOX-PNA fresh 2,MOX-PNA fresh 3,MOX-PNA fresh 4,MOX-PNA fresh 5,MOX-PN SF,MOX-PNA SF 1,MOX-PNA SF 2,MOX-PNA SF 3,MOX-PNA SF 4,MOX-PNA SF 5,,
Cm242,0,0,0,0,0,0,0.0002752858,0.0005825632,0.0010420239,0.0013548967,0.001561968,0.0017010824,,
Cm243,0,0,0,0,0,0,1.26393485496395E-05,3.26479358386695E-05,5.75713206830682E-05,7.30844267102576E-05,8.26183093670948E-05,8.85542903881948E-05,,
Cm244,0,0,0,0,0,0,0.0010179475,0.0020358713,0.0032450744,0.0040966876,0.004787902,0.0053822608,,
Cm245,0,0,0,0,0,0,0.0001275934,0.0002971812,0.0004181096,0.0004730639,0.0005101896,0.0005407262,,
Cm246,0,0,0,0,0,0,6.14068350026396E-06,1.44090889872964E-05,1.44203308016301E-05,0.000013529,1.30097337795437E-05,1.27806192113058E-05,,
Cm247,0,0,0,0,0,0,1.20593784421403E-07,3.25779402641302E-07,3.18507306540859E-07,2.93777597037538E-07,2.79494280659683E-07,2.72513203057968E-07,,
Cm248,0,0,0,0,0,0,9.15852795618264E-09,2.83982045273572E-08,2.69406180163602E-08,2.43281447785E-08,2.28595322213966E-08,2.20910702955982E-08,,
Cm250,0,0,0,0,0,0,3.73380755414193E-17,1.28091901406847E-16,1.12202573921144E-16,9.64326462161341E-17,8.77182050070389E-17,8.28940161522018E-17,,
Cf249,0,0,0,0,0,0,4.05679090711136E-11,1.46290750787055E-10,1.3930319560798E-10,1.25790407444936E-10,1.18297579255959E-10,1.14405542861767E-10,,
Cf250,0,0,0,0,0,0,2.9328488367162E-11,9.8643763261401E-11,9.10120878125072E-11,8.07138449042549E-11,7.49284667256889E-11,7.18334802776289E-11,,
Cf251,0,0,0,0,0,0,1.4479253718258E-11,5.06267991274682E-11,4.62410607675017E-11,4.07268942387302E-11,3.76492295772346E-11,3.59817432881677E-11,,
Cf 252,0,0,0,0,0,0,7.53461165518465E-12,2.89381703880887E-11,2.55005849820782E-11,2.19583254967472E-11,1.99995907448789E-11,1.89209167040615E-11,,
H3,0,0,0,0,0,0,1.02694706965821E-07,1.027935008948E-07,1.02802358280692E-07,1.02592176501196E-07,1.02497902567504E-07,1.02404961442701E-07,,
C14,0,0,0,0,0,0,3.95879595791321E-11,3.95574989824736E-11,3.95109063781141E-11,3.94669903167857E-11,3.94491927442737E-11,3.94319104461493E-11,,
C Other,0,0,0,0,0,0,0,0,0,0,0,0,,
Kr81,0,0,0,0,0,0,7.34462144755557E-11,7.40853159659118E-11,7.37316914011225E-11,7.59942048157008E-11,7.81983998124766E-11,7.98438683748557E-11,,
Kr85,0,0,0,0,0,0,2.05489408777763E-05,2.03787115587162E-05,1.99704581212589E-05,1.98684848643155E-05,1.98395940189199E-05,0.000019811,,
Kr Other,0,0,0,0,0,0,0.0003094782,0.0003478853,0.0003401341,0.0003370391,0.0003352037,0.0003337214,,
Sr90,0,0,0,0,0,0,0.000408279,0.0004031745,0.000393309,0.0003896703,0.0003877921,0.0003863187,,
Sr Other,0,0,0,0,0,0,0.0002927641,0.0002890446,0.0002815938,0.0002786078,0.0002769294,0.0002755657,,
Tc99,0,0,0,0,0,0,0.0011189423,0.0011219291,0.0011270259,0.0011299138,0.0011319768,0.0011330549,,
Tc Other,0,0,0,0,0,0,3.3184313519046E-07,0.0011222606,0.0011273569,0.0011302444,0.0011323071,0.0011333851,,
I129,0,0,0,0,0,0,0.0003505819,0.0003529777,0.0003541081,0.0003576727,0.0003608926,0.0003631176,,
I Other,0,0,0,0,0,0,0.0001253921,0.000010132,1.01607550636667E-05,1.01892689805928E-05,1.02144218123202E-05,0.000010232,,
Cs134,0,0,0,0,0,0,0.0002101892,0.000206387,0.0002000046,0.000196385,0.000194096,0.0001925093,,
Cs135,0,0,0,0,0,0,0.0009355518,0.0009433404,0.000960622,0.0009722259,0.0009804799,0.0009865478,,
Cs137,0,0,0,0,0,0,0.0018309056,0.0018308842,0.001833042,0.0018348601,0.0018369624,0.0018380891,,
Cs Other,0,0,0,0,0,0,0.0016022069,0.0016081764,0.0016192967,0.0016271311,0.0016332215,0.0016373341,,
FP Other,0,0,0,0,0,0,0.0445783616,0.0434795303,0.0434202732,0.0433529316,0.043308024,0.0432720135,,
Actinide Other,0,0,0,0,0,0,7.40175341531719E-05,7.02871531270353E-05,6.1898724123542E-05,5.5970345059664E-05,5.14218409727255E-05,4.77770711596269E-05,,
